#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,G)GD-156,SIG
#NUCLEUS    Gd-155
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1.52824581e+00 75.290421 Lin-Lin
 1.54980659e+00 78.449348 Lin-Lin
 1.57167149e+00 82.090889 Lin-Lin
 1.59384501e+00 86.313652 Lin-Lin
 1.61067033e+00 89.935616 Lin-Lin
 1.62765312e+00 94.018242 Lin-Lin
 1.64487565e+00 98.666939 Lin-Lin
 1.66226006e+00 103.969864 Lin-Lin
 1.67980766e+00 110.064766 Lin-Lin
 1.69751942e+00 117.130333 Lin-Lin
 1.70949388e+00 122.527405 Lin-Lin
 1.72146833e+00 128.513275 Lin-Lin
 1.73361182e+00 135.281540 Lin-Lin
 1.74575520e+00 142.872147 Lin-Lin
 1.75806987e+00 151.561584 Lin-Lin
 1.76730597e+00 158.847458 Lin-Lin
 1.77662885e+00 166.980347 Lin-Lin
 1.78599524e+00 176.061020 Lin-Lin
 1.79536164e+00 186.202072 Lin-Lin
 1.80486012e+00 197.754181 Lin-Lin
 1.81435859e+00 210.812073 Lin-Lin
 1.82069087e+00 220.491119 Lin-Lin
 1.82711256e+00 231.219955 Lin-Lin
 1.83353424e+00 242.988647 Lin-Lin
 1.83995593e+00 255.937561 Lin-Lin
 1.84637761e+00 270.230133 Lin-Lin
 1.85288990e+00 286.292267 Lin-Lin
 1.85940218e+00 304.164764 Lin-Lin
 1.86591434e+00 324.119354 Lin-Lin
 1.87242663e+00 346.473145 Lin-Lin
 1.87737978e+00 365.306213 Lin-Lin
 1.88233292e+00 385.922485 Lin-Lin
 1.88728595e+00 408.524780 Lin-Lin
 1.89223909e+00 433.335205 Lin-Lin
 1.89719224e+00 460.593597 Lin-Lin
 1.90145075e+00 486.180603 Lin-Lin
 1.90666580e+00 520.480957 Lin-Lin
 1.91188085e+00 558.336914 Lin-Lin
 1.91709590e+00 600.043457 Lin-Lin
 1.92246270e+00 647.257141 Lin-Lin
 1.92798126e+00 700.566833 Lin-Lin
 1.93349981e+00 758.807434 Lin-Lin
 1.93901837e+00 821.903381 Lin-Lin
 1.94426095e+00 886.057312 Lin-Lin
 1.95171094e+00 983.198853 Lin-Lin
 1.96992207e+00 1232.603760 Lin-Lin
 1.97544062e+00 1304.167114 Lin-Lin
 1.98095918e+00 1369.845581 Lin-Lin
 1.98625779e+00 1425.111450 Lin-Lin
 1.99133658e+00 1469.002808 Lin-Lin
 1.99641538e+00 1502.417358 Lin-Lin
 2.00022435e+00 1519.851807 Lin-Lin
 2.00403357e+00 1530.336670 Lin-Lin
 2.00769281e+00 1533.671265 Lin-Lin
 2.01222849e+00 1528.588135 Lin-Lin
 2.01641393e+00 1515.031250 Lin-Lin
 2.02059937e+00 1493.381592 Lin-Lin
 2.02478504e+00 1464.255859 Lin-Lin
 2.03062606e+00 1412.634155 Lin-Lin
 2.03559256e+00 1360.411621 Lin-Lin
 2.04221487e+00 1282.023560 Lin-Lin
 2.05545950e+00 1110.527100 Lin-Lin
 2.06373715e+00 1003.624207 Lin-Lin
 2.06925583e+00 935.690186 Lin-Lin
 2.07477427e+00 871.634644 Lin-Lin
 2.08001685e+00 814.970154 Lin-Lin
 2.08498359e+00 765.342834 Lin-Lin
 2.08995032e+00 719.761719 Lin-Lin
 2.09491682e+00 678.197327 Lin-Lin
 2.10043550e+00 636.572998 Lin-Lin
 2.10498834e+00 605.666077 Lin-Lin
 2.10954094e+00 577.672729 Lin-Lin
 2.11409378e+00 552.398743 Lin-Lin
 2.11864662e+00 529.644775 Lin-Lin
 2.12355256e+00 507.719910 Lin-Lin
 2.12916517e+00 485.640991 Lin-Lin
 2.13477755e+00 466.449219 Lin-Lin
 2.14038992e+00 449.841980 Lin-Lin
 2.14600253e+00 435.548065 Lin-Lin
 2.15161490e+00 423.327698 Lin-Lin
 2.15920377e+00 409.732300 Lin-Lin
 2.16679263e+00 399.106079 Lin-Lin
 2.17438149e+00 391.087708 Lin-Lin
 2.18197036e+00 385.383972 Lin-Lin
 2.19045568e+00 381.459320 Lin-Lin
 2.19983411e+00 379.838745 Lin-Lin
 2.20072699e+00 379.823608 Lin-Lin
 2.20965576e+00 380.929504 Lin-Lin
 2.22037005e+00 385.136078 Lin-Lin
 2.22751307e+00 389.608368 Lin-Lin
 2.23861241e+00 399.139832 Lin-Lin
 2.24971175e+00 411.811310 Lin-Lin
 2.26074886e+00 427.606354 Lin-Lin
 2.27178597e+00 446.756866 Lin-Lin
 2.28006363e+00 463.475555 Lin-Lin
 2.28834152e+00 482.373779 Lin-Lin
 2.29661918e+00 503.633331 Lin-Lin
 2.30489707e+00 527.474976 Lin-Lin
 2.31317496e+00 554.164062 Lin-Lin
