#LIBRARY    ENDF/B-VIII.1
#REACTION   U-235(N,TOT),SIG
#NUCLEUS    U-235
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 1.43738478e-01 256.678345 Lin-Lin
 1.48865625e-01 252.070953 Lin-Lin
 1.50965855e-01 250.485458 Lin-Lin
 1.53095707e-01 248.877609 Lin-Lin
 1.59667268e-01 244.091629 Lin-Lin
 1.63054079e-01 242.091278 Lin-Lin
 1.67687342e-01 239.463562 Lin-Lin
 1.70053110e-01 238.121841 Lin-Lin
 1.70205742e-01 238.055130 Lin-Lin
 1.79854676e-01 234.070160 Lin-Lin
 1.80016115e-01 234.024292 Lin-Lin
 1.84965327e-01 232.750381 Lin-Lin
 1.89067587e-01 231.694489 Lin-Lin
 1.90221205e-01 231.428162 Lin-Lin
 1.98564440e-01 230.578094 Lin-Lin
 1.99785799e-01 230.487427 Lin-Lin
 2.04023585e-01 230.657028 Lin-Lin
 2.07474947e-01 230.795166 Lin-Lin
 2.08548531e-01 230.958176 Lin-Lin
 2.16579899e-01 232.394302 Lin-Lin
 2.19023913e-01 233.139572 Lin-Lin
 2.25045562e-01 235.120438 Lin-Lin
 2.27469847e-01 235.922302 Lin-Lin
 2.33282149e-01 238.544922 Lin-Lin
 2.38895625e-01 241.097900 Lin-Lin
 2.50209033e-01 246.999008 Lin-Lin
 2.51735687e-01 247.747299 Lin-Lin
 2.55287230e-01 249.488098 Lin-Lin
 2.59121269e-01 251.375854 Lin-Lin
 2.63510704e-01 253.350967 Lin-Lin
 2.66484320e-01 254.312378 Lin-Lin
 2.73058921e-01 256.115692 Lin-Lin
 2.73810804e-01 256.164215 Lin-Lin
 2.77775526e-01 256.420135 Lin-Lin
 2.80818015e-01 256.475861 Lin-Lin
 2.83681542e-01 256.019440 Lin-Lin
 2.88172573e-01 255.070099 Lin-Lin
 2.89698899e-01 254.488647 Lin-Lin
 2.94285208e-01 252.511520 Lin-Lin
 2.95858443e-01 251.592804 Lin-Lin
 3.00542235e-01 248.646515 Lin-Lin
 3.02134097e-01 247.385529 Lin-Lin
 3.04153919e-01 245.711060 Lin-Lin
 3.08558017e-01 242.059998 Lin-Lin
 3.09082270e-01 241.608521 Lin-Lin
 3.17864984e-01 232.741180 Lin-Lin
 3.19548607e-01 230.852356 Lin-Lin
 3.31509203e-01 217.285004 Lin-Lin
 3.34248990e-01 214.100784 Lin-Lin
 3.37843060e-01 209.915817 Lin-Lin
 3.37966830e-01 209.771667 Lin-Lin
 3.47570330e-01 198.770782 Lin-Lin
 3.53072792e-01 192.582855 Lin-Lin
 3.54960293e-01 190.593597 Lin-Lin
 3.62489611e-01 182.813736 Lin-Lin
 3.65666896e-01 179.598511 Lin-Lin
 3.70196790e-01 175.345337 Lin-Lin
 3.72653365e-01 173.090256 Lin-Lin
 3.76057476e-01 169.965347 Lin-Lin
 3.78049314e-01 168.275024 Lin-Lin
 3.86087328e-01 161.613373 Lin-Lin
 3.86743307e-01 161.081818 Lin-Lin
 3.94276887e-01 155.490021 Lin-Lin
 3.95440966e-01 154.645554 Lin-Lin
 3.97732794e-01 152.981674 Lin-Lin
 4.02659953e-01 149.717255 Lin-Lin
 4.09034550e-01 145.589630 Lin-Lin
 4.11050439e-01 144.400146 Lin-Lin
 4.11201060e-01 144.311264 Lin-Lin
 4.19943929e-01 139.269348 Lin-Lin
 4.20657456e-01 138.866333 Lin-Lin
 4.28851664e-01 134.659058 Lin-Lin
 4.32610631e-01 132.768478 Lin-Lin
 4.37969834e-01 130.344711 Lin-Lin
 4.47259903e-01 126.228638 Lin-Lin
 4.48019862e-01 125.898056 Lin-Lin
 4.53403801e-01 123.815353 Lin-Lin
 4.56769466e-01 122.513397 Lin-Lin
 4.64000702e-01 119.775269 Lin-Lin
 4.69748795e-01 117.834564 Lin-Lin
 4.80528027e-01 114.281273 Lin-Lin
 4.83096898e-01 113.523895 Lin-Lin
 4.96824324e-01 109.569084 Lin-Lin
 4.97668475e-01 109.330681 Lin-Lin
 5.10941803e-01 105.974915 Lin-Lin
 5.14332294e-01 105.134178 Lin-Lin
 5.15394986e-01 104.870674 Lin-Lin
 5.25460422e-01 102.654701 Lin-Lin
 5.37518084e-01 100.056015 Lin-Lin
 5.44176877e-01 98.792580 Lin-Lin
 5.60590804e-01 95.749321 Lin-Lin
 5.63381255e-01 95.293350 Lin-Lin
 5.63587666e-01 95.259621 Lin-Lin
 5.83662212e-01 92.052643 Lin-Lin
 5.84653914e-01 91.897301 Lin-Lin
 6.04481459e-01 89.169891 Lin-Lin
 6.09749913e-01 88.459465 Lin-Lin
 6.12785041e-01 88.101608 Lin-Lin
 6.26012564e-01 86.542023 Lin-Lin
 6.27860785e-01 86.328537 Lin-Lin
 6.35923147e-01 85.400047 Lin-Lin
 6.48342431e-01 84.159721 Lin-Lin
 6.63219810e-01 82.709084 Lin-Lin
 6.76172197e-01 81.629044 Lin-Lin
 6.80659175e-01 81.264641 Lin-Lin
 6.91688240e-01 80.368942 Lin-Lin
 7.00256884e-01 79.788925 Lin-Lin
 7.21378624e-01 78.399406 Lin-Lin
 7.25235045e-01 78.197784 Lin-Lin
 7.45569766e-01 77.173500 Lin-Lin
 7.51067340e-01 76.896584 Lin-Lin
 7.52343476e-01 76.834862 Lin-Lin
 7.77857900e-01 75.928841 Lin-Lin
 7.79179513e-01 75.884514 Lin-Lin
 7.99961090e-01 75.451630 Lin-Lin
 8.06933284e-01 75.317299 Lin-Lin
 8.10949922e-01 75.286240 Lin-Lin
 8.13237786e-01 75.268539 Lin-Lin
 8.24963868e-01 75.197533 Lin-Lin
 8.34090710e-01 75.248512 Lin-Lin
 8.48405600e-01 75.359215 Lin-Lin
 8.51783216e-01 75.436897 Lin-Lin
