#LIBRARY    ENDF/B-VII.1
#REACTION   U-235(N,F`),SIG
#NUCLEUS    U-235
#MF         3
#MT         19
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.10995054e+00 14.674708 Lin-Lin
 2.11716866e+00 14.193099 Lin-Lin
 2.12438679e+00 13.818511 Lin-Lin
 2.13280773e+00 13.478596 Lin-Lin
 2.14363503e+00 13.146745 Lin-Lin
 2.15497613e+00 12.882539 Lin-Lin
 2.16631722e+00 12.673867 Lin-Lin
 2.18921256e+00 12.354517 Lin-Lin
 2.22009850e+00 12.039793 Lin-Lin
 2.26719046e+00 11.671975 Lin-Lin
 2.42503262e+00 10.615212 Lin-Lin
 2.47379971e+00 10.236146 Lin-Lin
 2.52345991e+00 9.780594 Lin-Lin
 2.55167484e+00 9.479696 Lin-Lin
 2.58767438e+00 9.046265 Lin-Lin
 2.64266562e+00 8.336710 Lin-Lin
 2.66124225e+00 8.144341 Lin-Lin
 2.67527223e+00 8.053651 Lin-Lin
 2.68462563e+00 8.034503 Lin-Lin
 2.69499540e+00 8.066191 Lin-Lin
 2.70432401e+00 8.154647 Lin-Lin
 2.71054292e+00 8.251199 Lin-Lin
 2.71676207e+00 8.381744 Lin-Lin
 2.72524261e+00 8.619987 Lin-Lin
 2.73372316e+00 8.933238 Lin-Lin
 2.73937678e+00 9.185651 Lin-Lin
 2.74661350e+00 9.560133 Lin-Lin
 2.75498080e+00 10.063210 Lin-Lin
 2.76391363e+00 10.676842 Lin-Lin
 2.77216792e+00 11.304144 Lin-Lin
 2.78347540e+00 12.233574 Lin-Lin
 2.81174374e+00 14.668404 Lin-Lin
 2.82661939e+00 15.866213 Lin-Lin
 2.84149528e+00 16.935926 Lin-Lin
 2.85644078e+00 17.867214 Lin-Lin
 2.87152648e+00 18.674826 Lin-Lin
 2.89164066e+00 19.600416 Lin-Lin
 2.93740249e+00 21.540112 Lin-Lin
 2.95288849e+00 22.294277 Lin-Lin
 2.96837449e+00 23.170174 Lin-Lin
 2.98119450e+00 24.022985 Lin-Lin
 2.99401450e+00 25.027147 Lin-Lin
 3.00606942e+00 26.145332 Lin-Lin
 3.01659417e+00 27.291231 Lin-Lin
 3.02711892e+00 28.627575 Lin-Lin
 3.03764367e+00 30.188702 Lin-Lin
 3.04816842e+00 32.010117 Lin-Lin
 3.05518484e+00 33.385025 Lin-Lin
 3.06220126e+00 34.896606 Lin-Lin
 3.07272601e+00 37.423733 Lin-Lin
 3.08325076e+00 40.239780 Lin-Lin
 3.11061525e+00 48.155617 Lin-Lin
 3.11763167e+00 50.005184 Lin-Lin
 3.12464809e+00 51.612148 Lin-Lin
 3.13166451e+00 52.880554 Lin-Lin
 3.13692689e+00 53.555813 Lin-Lin
 3.14331198e+00 54.007431 Lin-Lin
 3.14696050e+00 54.069576 Lin-Lin
 3.15271401e+00 53.864803 Lin-Lin
 3.15832734e+00 53.305286 Lin-Lin
 3.16464210e+00 52.265137 Lin-Lin
 3.16990447e+00 51.091515 Lin-Lin
 3.17516685e+00 49.672478 Lin-Lin
 3.18113089e+00 47.817474 Lin-Lin
 3.19007683e+00 44.681770 Lin-Lin
 3.20954776e+00 37.377140 Lin-Lin
 3.21656418e+00 34.873188 Lin-Lin
 3.22358060e+00 32.538631 Lin-Lin
 3.23059726e+00 30.408295 Lin-Lin
 3.23761368e+00 28.499453 Lin-Lin
 3.24287605e+00 27.215519 Lin-Lin
 3.24813843e+00 26.055567 Lin-Lin
 3.25340080e+00 25.014593 Lin-Lin
 3.25866318e+00 24.085993 Lin-Lin
 3.26567960e+00 23.009502 Lin-Lin
 3.27269602e+00 22.100279 Lin-Lin
 3.27971268e+00 21.339462 Lin-Lin
 3.28672910e+00 20.709333 Lin-Lin
 3.29374552e+00 20.193869 Lin-Lin
 3.30076218e+00 19.778976 Lin-Lin
 3.30777860e+00 19.452520 Lin-Lin
 3.31795239e+00 19.115656 Lin-Lin
 3.32795095e+00 18.920691 Lin-Lin
 3.33961582e+00 18.840113 Lin-Lin
 3.35128069e+00 18.899139 Lin-Lin
 3.36127925e+00 19.051363 Lin-Lin
 3.37162852e+00 19.303114 Lin-Lin
 3.38215327e+00 19.656425 Lin-Lin
 3.39267802e+00 20.110325 Lin-Lin
 3.40320277e+00 20.670858 Lin-Lin
 3.41372752e+00 21.347925 Lin-Lin
 3.42552495e+00 22.263245 Lin-Lin
 3.43508649e+00 23.144814 Lin-Lin
 3.44449210e+00 24.154610 Lin-Lin
 3.45374131e+00 25.309338 Lin-Lin
 3.46299076e+00 26.654108 Lin-Lin
 3.46992779e+00 27.809595 Lin-Lin
 3.47686481e+00 29.112215 Lin-Lin
 3.48380184e+00 30.584930 Lin-Lin
 3.49073887e+00 32.254780 Lin-Lin
 3.49767590e+00 34.153217 Lin-Lin
 3.50461292e+00 36.316093 Lin-Lin
 3.51154995e+00 38.783039 Lin-Lin
