#LIBRARY    ENDF/B-VIII.1
#REACTION   AM-241(N,TOT),SIG
#NUCLEUS    Am-241
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 1.23209953e-01 333.262848 Lin-Lin
 1.24948226e-01 333.190460 Lin-Lin
 1.26932055e-01 333.471893 Lin-Lin
 1.33127391e-01 334.359863 Lin-Lin
 1.34248197e-01 334.856201 Lin-Lin
 1.40800640e-01 337.767303 Lin-Lin
 1.40991479e-01 337.908875 Lin-Lin
 1.47880286e-01 343.029907 Lin-Lin
 1.48080721e-01 343.242554 Lin-Lin
 1.52023315e-01 347.432037 Lin-Lin
 1.54437020e-01 349.992310 Lin-Lin
 1.55308306e-01 350.918030 Lin-Lin
 1.61066160e-01 359.005219 Lin-Lin
 1.61974832e-01 360.283234 Lin-Lin
 1.66803196e-01 368.713623 Lin-Lin
 1.67752475e-01 370.373016 Lin-Lin
 1.72753066e-01 380.952820 Lin-Lin
 1.73727676e-01 383.016968 Lin-Lin
 1.77661926e-01 393.075165 Lin-Lin
 1.79924548e-01 398.864960 Lin-Lin
 1.82710260e-01 407.303375 Lin-Lin
 1.83678716e-01 410.239594 Lin-Lin
 1.85037181e-01 414.355042 Lin-Lin
 1.87902063e-01 424.468933 Lin-Lin
 1.90295100e-01 432.923798 Lin-Lin
 1.91887781e-01 439.372772 Lin-Lin
 1.94331571e-01 449.274902 Lin-Lin
 1.95967674e-01 456.755493 Lin-Lin
 1.98463425e-01 468.174896 Lin-Lin
 2.00124472e-01 476.784302 Lin-Lin
 2.02673167e-01 490.004272 Lin-Lin
 2.04379484e-01 500.077301 Lin-Lin
 2.06982374e-01 515.455017 Lin-Lin
 2.08714724e-01 527.167358 Lin-Lin
 2.11301103e-01 544.665283 Lin-Lin
 2.11372823e-01 545.150391 Lin-Lin
 2.11659312e-01 547.327515 Lin-Lin
 2.14354917e-01 567.823303 Lin-Lin
 2.14645445e-01 570.258179 Lin-Lin
 2.17379078e-01 593.180237 Lin-Lin
 2.17673704e-01 595.912964 Lin-Lin
 2.20445901e-01 621.639709 Lin-Lin
 2.20744699e-01 624.718689 Lin-Lin
 2.23555997e-01 653.706116 Lin-Lin
 2.23858997e-01 657.190063 Lin-Lin
 2.26709962e-01 689.990784 Lin-Lin
 2.27017254e-01 693.951172 Lin-Lin
 2.29908437e-01 731.238647 Lin-Lin
 2.30220050e-01 735.763184 Lin-Lin
 2.32656047e-01 771.153748 Lin-Lin
 2.33152032e-01 778.363708 Lin-Lin
 2.35114947e-01 810.141785 Lin-Lin
 2.35619053e-01 818.307556 Lin-Lin
 2.36361176e-01 831.543152 Lin-Lin
 2.37596929e-01 853.587952 Lin-Lin
 2.38109276e-01 862.733215 Lin-Lin
 2.40102142e-01 902.028748 Lin-Lin
 2.40622863e-01 912.302734 Lin-Lin
 2.42642701e-01 956.481812 Lin-Lin
 2.43159980e-01 967.803406 Lin-Lin
 2.44780153e-01 1007.271179 Lin-Lin
 2.45207146e-01 1017.675354 Lin-Lin
 2.45732889e-01 1030.494385 Lin-Lin
 2.47795671e-01 1086.707397 Lin-Lin
 2.48329997e-01 1101.278931 Lin-Lin
 2.49984637e-01 1151.916626 Lin-Lin
 2.50408411e-01 1164.889160 Lin-Lin
 2.50951469e-01 1181.523315 Lin-Lin
 2.52174824e-01 1222.886841 Lin-Lin
 2.52715498e-01 1241.177124 Lin-Lin
 2.53941238e-01 1286.169800 Lin-Lin
 2.54399359e-01 1302.994507 Lin-Lin
 2.54491955e-01 1306.396362 Lin-Lin
 2.55732566e-01 1355.941528 Lin-Lin
 2.56280869e-01 1377.849976 Lin-Lin
 2.57523894e-01 1431.943604 Lin-Lin
 2.58082390e-01 1456.260864 Lin-Lin
 2.58582383e-01 1480.011963 Lin-Lin
