#LIBRARY    ENDF/B-VIII.1
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 3.78274584e+00 7.380210 Lin-Lin
 3.78936100e+00 6.956567 Lin-Lin
 3.79597616e+00 6.577754 Lin-Lin
 3.80259132e+00 6.237801 Lin-Lin
 3.80920649e+00 5.931673 Lin-Lin
 3.81582141e+00 5.655107 Lin-Lin
 3.82464170e+00 5.326154 Lin-Lin
 3.83346200e+00 5.036213 Lin-Lin
 3.84228206e+00 4.779449 Lin-Lin
 3.85110235e+00 4.551070 Lin-Lin
 3.85992265e+00 4.347121 Lin-Lin
 3.86874270e+00 4.164311 Lin-Lin
 3.88031936e+00 3.951896 Lin-Lin
 3.89189577e+00 3.766073 Lin-Lin
 3.90347242e+00 3.602711 Lin-Lin
 3.91504884e+00 3.458455 Lin-Lin
 3.92885756e+00 3.307590 Lin-Lin
 3.94266605e+00 3.176274 Lin-Lin
 3.95647454e+00 3.061510 Lin-Lin
 3.97028327e+00 2.960885 Lin-Lin
 3.99128819e+00 2.830597 Lin-Lin
 4.01229334e+00 2.723076 Lin-Lin
 4.03339720e+00 2.633826 Lin-Lin
 4.05469847e+00 2.559623 Lin-Lin
 4.07600021e+00 2.498910 Lin-Lin
 4.09750175e+00 2.449386 Lin-Lin
 4.12630463e+00 2.399045 Lin-Lin
 4.15531015e+00 2.364545 Lin-Lin
 4.18451929e+00 2.344389 Lin-Lin
 4.21098852e+00 2.337827 Lin-Lin
 4.24069357e+00 2.343338 Lin-Lin
 4.27039814e+00 2.362555 Lin-Lin
 4.30052185e+00 2.396730 Lin-Lin
 4.33064556e+00 2.447119 Lin-Lin
 4.35355711e+00 2.497694 Lin-Lin
 4.37646914e+00 2.560473 Lin-Lin
 4.39948845e+00 2.637844 Lin-Lin
 4.42272329e+00 2.733115 Lin-Lin
 4.44595814e+00 2.849160 Lin-Lin
 4.46155691e+00 2.941025 Lin-Lin
 4.47726536e+00 3.046973 Lin-Lin
 4.49297380e+00 3.168719 Lin-Lin
 4.50868225e+00 3.309162 Lin-Lin
 4.52312899e+00 3.457976 Lin-Lin
 4.53631353e+00 3.613367 Lin-Lin
 4.54949808e+00 3.790984 Lin-Lin
 4.56268311e+00 3.995135 Lin-Lin
 4.57259083e+00 4.169234 Lin-Lin
 4.58253717e+00 4.364997 Lin-Lin
 4.59248352e+00 4.585266 Lin-Lin
 4.60242987e+00 4.834301 Lin-Lin
 4.61237621e+00 5.117365 Lin-Lin
 4.62232304e+00 5.441028 Lin-Lin
 4.62895393e+00 5.683366 Lin-Lin
 4.63558483e+00 5.950386 Lin-Lin
 4.64221573e+00 6.245644 Lin-Lin
 4.64884663e+00 6.573388 Lin-Lin
 4.65547752e+00 6.938729 Lin-Lin
 4.66210842e+00 7.347870 Lin-Lin
 4.66873932e+00 7.808407 Lin-Lin
 4.67371273e+00 8.193104 Lin-Lin
 4.67848682e+00 8.598978 Lin-Lin
 4.68316174e+00 9.035988 Lin-Lin
 4.68783665e+00 9.517791 Lin-Lin
 4.69251156e+00 10.051019 Lin-Lin
 4.69718599e+00 10.643594 Lin-Lin
 4.70162916e+00 11.270390 Lin-Lin
 4.70560741e+00 11.892420 Lin-Lin
 4.70958614e+00 12.580398 Lin-Lin
 4.71356487e+00 13.344048 Lin-Lin
 4.71754313e+00 14.194773 Lin-Lin
 4.72152185e+00 15.145920 Lin-Lin
 4.72550011e+00 16.213064 Lin-Lin
 4.72947884e+00 17.414295 Lin-Lin
 4.73213148e+00 18.299793 Lin-Lin
