#LIBRARY    ENDF/B-VIII.1
#REACTION   AM-241(N,G)AM-242,SIG
#NUCLEUS    Am-241
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 6.43733382e-01 553.654053 Lin-Lin
 6.46003842e-01 523.036377 Lin-Lin
 6.48274362e-01 495.002106 Lin-Lin
 6.50544822e-01 469.276978 Lin-Lin
 6.52815282e-01 445.620728 Lin-Lin
 6.55117810e-01 423.527374 Lin-Lin
 6.58571601e-01 393.553864 Lin-Lin
 6.62025332e-01 366.892639 Lin-Lin
 6.65527821e-01 342.763245 Lin-Lin
 6.69030309e-01 321.161987 Lin-Lin
 6.72549307e-01 301.665771 Lin-Lin
 6.76101208e-01 283.938690 Lin-Lin
 6.79653108e-01 267.924316 Lin-Lin
 6.83238447e-01 253.281708 Lin-Lin
 6.86840475e-01 239.925629 Lin-Lin
 6.90442443e-01 227.767883 Lin-Lin
 6.94095314e-01 216.521881 Lin-Lin
 6.97748125e-01 206.244415 Lin-Lin
 7.02652931e-01 193.783890 Lin-Lin
 7.07592130e-01 182.588242 Lin-Lin
 7.12566137e-01 172.498230 Lin-Lin
 7.17574954e-01 163.379684 Lin-Lin
 7.22619176e-01 155.117249 Lin-Lin
 7.27698684e-01 147.612976 Lin-Lin
 7.32814014e-01 140.782120 Lin-Lin
 7.37965167e-01 134.552628 Lin-Lin
 7.43152678e-01 128.861832 Lin-Lin
 7.50988483e-01 121.232300 Lin-Lin
 7.58934796e-01 114.515701 Lin-Lin
 7.66955853e-01 108.619385 Lin-Lin
 7.75052190e-01 103.435753 Lin-Lin
 7.83224285e-01 98.875908 Lin-Lin
 7.91511714e-01 94.848473 Lin-Lin
 7.99877048e-01 91.314087 Lin-Lin
 8.08320940e-01 88.221390 Lin-Lin
 8.16843808e-01 85.527832 Lin-Lin
 8.28368008e-01 82.488365 Lin-Lin
 8.40054810e-01 80.028496 Lin-Lin
 8.51906478e-01 78.099350 Lin-Lin
 8.63925338e-01 76.667374 Lin-Lin
 8.76113772e-01 75.710594 Lin-Lin
 8.88474166e-01 75.214149 Lin-Lin
 8.96150827e-01 75.135834 Lin-Lin
 9.08793867e-01 75.385307 Lin-Lin
 9.21615303e-01 76.120499 Lin-Lin
 9.34617639e-01 77.374352 Lin-Lin
 9.47803438e-01 79.195961 Lin-Lin
 9.61175203e-01 81.652290 Lin-Lin
 9.71345544e-01 83.968544 Lin-Lin
 9.81611550e-01 86.738556 Lin-Lin
 9.91973877e-01 90.021965 Lin-Lin
 1.00243318e+00 93.894859 Lin-Lin
 1.01304018e+00 98.475647 Lin-Lin
 1.02374673e+00 103.867104 Lin-Lin
 1.03091776e+00 107.970840 Lin-Lin
 1.03819001e+00 112.589882 Lin-Lin
 1.04546225e+00 117.725204 Lin-Lin
 1.05283701e+00 123.527557 Lin-Lin
 1.06021178e+00 130.009064 Lin-Lin
 1.06769061e+00 137.374176 Lin-Lin
 1.07516944e+00 145.656174 Lin-Lin
 1.08275378e+00 155.139267 Lin-Lin
 1.08844209e+00 163.075928 Lin-Lin
 1.09418380e+00 171.906494 Lin-Lin
 1.09995234e+00 181.718964 Lin-Lin
 1.10572088e+00 192.607620 Lin-Lin
 1.11157084e+00 204.911575 Lin-Lin
 1.11742067e+00 218.682358 Lin-Lin
 1.12329805e+00 234.234100 Lin-Lin
 1.12725306e+00 245.810547 Lin-Lin
 1.13120806e+00 258.400909 Lin-Lin
 1.13516295e+00 272.125519 Lin-Lin
 1.13914585e+00 287.233948 Lin-Lin
 1.14315653e+00 303.919800 Lin-Lin
 1.14716733e+00 322.278015 Lin-Lin
 1.15117812e+00 342.538605 Lin-Lin
 1.15521717e+00 365.139130 Lin-Lin
 1.15928447e+00 390.457825 Lin-Lin
 1.16335177e+00 418.744568 Lin-Lin
 1.16640234e+00 442.193207 Lin-Lin
 1.16945279e+00 467.818848 Lin-Lin
 1.17254627e+00 496.313446 Lin-Lin
 1.17563987e+00 527.667175 Lin-Lin
 1.17873335e+00 562.272095 Lin-Lin
 1.18182695e+00 600.587952 Lin-Lin
 1.18492043e+00 643.155518 Lin-Lin
 1.18804312e+00 691.084229 Lin-Lin
 1.19118035e+00 745.035278 Lin-Lin
 1.19327176e+00 784.684204 Lin-Lin
 1.19536316e+00 827.643372 Lin-Lin
 1.19745469e+00 874.267273 Lin-Lin
 1.19954610e+00 924.951233 Lin-Lin
 1.20163763e+00 980.135132 Lin-Lin
 1.20355570e+00 1035.118164 Lin-Lin
 1.20617294e+00 1117.660278 Lin-Lin
 1.20879018e+00 1209.943115 Lin-Lin
 1.21053505e+00 1277.504395 Lin-Lin
 1.21227992e+00 1350.370239 Lin-Lin
 1.21402478e+00 1428.968384 Lin-Lin
 1.21576953e+00 1513.742432 Lin-Lin
 1.21779108e+00 1620.280273 Lin-Lin
 1.22008932e+00 1753.109131 Lin-Lin
 1.22238767e+00 1899.367188 Lin-Lin
 1.22468591e+00 2059.990967 Lin-Lin
 1.22698414e+00 2235.779541 Lin-Lin
 1.22928238e+00 2427.322021 Lin-Lin
 1.23158062e+00 2634.915283 Lin-Lin
 1.23387885e+00 2858.474854 Lin-Lin
 1.23617709e+00 3097.442871 Lin-Lin
