#LIBRARY    ENDF/B-VIII.1
#REACTION   GD-155(N,TOT),SIG
#NUCLEUS    Gd-155
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 7.01248124e-02 22300.759766 Lin-Lin
 7.03516081e-02 22180.160156 Lin-Lin
 7.36507848e-02 20425.798828 Lin-Lin
 7.38889873e-02 20309.767578 Lin-Lin
 7.65208453e-02 19027.726562 Lin-Lin
 7.68122151e-02 18885.796875 Lin-Lin
 7.82494619e-02 18243.847656 Lin-Lin
 7.92503431e-02 17796.843750 Lin-Lin
 8.01093429e-02 17413.208984 Lin-Lin
 8.15022811e-02 16845.853516 Lin-Lin
 8.35479945e-02 16012.616211 Lin-Lin
 8.44053254e-02 15693.128906 Lin-Lin
 8.57074633e-02 15207.879883 Lin-Lin
 8.65239054e-02 14903.662109 Lin-Lin
 8.80283862e-02 14388.525391 Lin-Lin
 8.96102116e-02 13846.901367 Lin-Lin
 9.19263661e-02 13120.548828 Lin-Lin
 9.24545750e-02 12954.923828 Lin-Lin
 9.28020552e-02 12845.966797 Lin-Lin
 9.57477316e-02 12002.688477 Lin-Lin
 9.61123034e-02 11898.319336 Lin-Lin
 9.79106799e-02 11429.693359 Lin-Lin
 9.84684452e-02 11284.374023 Lin-Lin
 9.95357484e-02 11006.297852 Lin-Lin
 1.00562066e-01 10763.593750 Lin-Lin
 1.02695160e-01 10259.158203 Lin-Lin
 1.03086181e-01 10166.687500 Lin-Lin
 1.04279459e-01 9911.245117 Lin-Lin
 1.05613284e-01 9625.765625 Lin-Lin
 1.06758028e-01 9380.755859 Lin-Lin
 1.09380506e-01 8868.675781 Lin-Lin
 1.09791607e-01 8788.402344 Lin-Lin
 1.10289946e-01 8698.860352 Lin-Lin
 1.12911381e-01 8227.936523 Lin-Lin
 1.14874683e-01 7903.862793 Lin-Lin
 1.16119809e-01 7698.334473 Lin-Lin
 1.16646871e-01 7618.500488 Lin-Lin
 1.18972257e-01 7266.356445 Lin-Lin
 1.19419403e-01 7198.643066 Lin-Lin
 1.22352906e-01 6791.523926 Lin-Lin
 1.22812763e-01 6727.704590 Lin-Lin
 1.23370208e-01 6656.888184 Lin-Lin
